File Path,EPSG Code,Projection,Spheroid,Semi-major Axis,Inverse Flattening,Datum,Unit,Unit Conversion Factor,GeoTransform Top Left X,GeoTransform Pixel Size X,GeoTransform Rotation X,GeoTransform Top Left Y,GeoTransform Rotation Y,GeoTransform Pixel Size Y
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-17/1km183450498102021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,345000.0,0.5,0.0,4982000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-18/1km183620498102021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,362000.0,0.5,0.0,4982000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-19/1km183800498102022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,380000.0,0.5,0.0,4982000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-20/1km183800499902021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,380000.0,0.5,0.0,5000000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-21/1km184020498102022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,402000.0,0.5,0.0,4982000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-22/1km184360498102022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,436000.0,0.5,0.0,4982000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-23/1km184670501302021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,467789.0,0.5,0.0,5014000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-24/1km184960499302021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,496000.0,0.5,0.0,4994000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-25/1km185190498302021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,519000.0,0.5,0.0,4984000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-26/1km184660501602021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,466760.5,0.5,0.0,5017000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-27/1km185050504602021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,505827.0,0.5,0.0,5047000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-28/1km185260501302022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,526000.0,0.5,0.0,5014000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Brampton-LidarDTM-A/1km175890483602015LBrampton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,589000.0,0.5,0.0,4837000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Halton-LidarDTM-A/1km175690480902018LHalton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,569000.0,0.5,0.0,4810000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Halton-LidarDTM-B/1km175920479202018LHalton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,592000.0,0.5,0.0,4793000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Halton-LidarDTM-C/1km175710481402018LHalton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,571000.0,0.5,0.0,4815000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Halton-LidarDTM-D/1km175900481402018LHalton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,590000.0,0.5,0.0,4815000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Milton-LidarDTM-A/1km175620484902017LMilton_DTM.img,7019,Transverse_Mercator,,,,,meters,1,562397.9890057825,0.5,0.0,4850000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Peel-LidarDTM-A/1km175720485302016LPeel_DTM.img,7019,Transverse_Mercator,,,,,meters,1,572000.0,0.5,0.0,4854000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA-Peel-LidarDTM-B/1km175660485902016LPeel_DTM.img,7019,Transverse_Mercator,,,,,meters,1,566000.0,0.5,0.0,4860000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2014-LidarDTM-A/1km175840486502014LGTA2014_DTM.img,7019,Transverse_Mercator,,,,,meters,1,584000.0,0.5,0.0,4866000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2014-LidarDTM-B/1km176020483902014LGTA2014_DTM.img,7019,Transverse_Mercator,,,,,meters,1,602000.0,0.5,0.0,4840000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2014-LidarDTM-C/1km176140484702014LGTA2014_DTM.img,7019,Transverse_Mercator,,,,,meters,1,614000.0,0.5,0.0,4848000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2014-LidarDTM-D/1km176300485702014LGTA2014_DTM.img,7019,Transverse_Mercator,,,,,meters,1,630000.0,0.5,0.0,4858000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-A/1km175780486802015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,578000.0,0.5,0.0,4869000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-B/1km175930483102015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,593000.0,0.5,0.0,4832000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-C/1km176130481602015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,613000.0,0.5,0.0,4817000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-D/1km176240483102015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,624000.0,0.5,0.0,4832000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-E/1km176350483002015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,635000.0,0.5,0.0,4831000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/GTA2015-LidarDTM-F/1km176470484502015LGTA2015_DTM.img,7019,Transverse_Mercator,,,,,meters,1,647000.0,0.5,0.0,4846000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-A/1km175650480502021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,565000.0,0.5,0.0,4806000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-B/1km175840477802021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,584000.0,0.5,0.0,4779000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-C/1km176010477302021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,601000.0,0.5,0.0,4774000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-D/1km176210477302021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,621000.0,0.5,0.0,4774000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-E/1km176430477302021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,643000.0,0.5,0.0,4774000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-F/1km175880477002021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,588000.0,0.5,0.0,4771000.0,0.0,-0.5
